"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"174","V2LNSSA-21B-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"175","V2LNSSA-21C-2019-05-10","Sheet Harbour",1139,2019-05-13 00:08:34,2019-05-13 23:42:36,44.9202516530958,-62.5386218284875
"176","V2LNSSA-21C-2019-05-10","Sheet Harbour passage",18,2019-05-12 13:23:49,2019-05-12 15:06:41,44.8665695404,-62.4962837203505
"177","V2LNSSA-21C-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"178","V2LNSSA-27A-2019-05-11","Sheet Harbour",1800,2019-05-14 00:18:17,2019-05-24 04:43:34,44.9202516530958,-62.5386218284875
"179","V2LNSSA-27A-2019-05-11","Sheet Harbour estuary",1494,2019-05-20 03:26:49,2019-06-06 22:40:03,44.8958021924533,-62.4850195539726
"180","V2LNSSA-27A-2019-05-11","Sheet Harbour passage",37,2019-05-13 17:40:32,2019-06-07 13:42:02,44.8665695404,-62.4962837203505
"181","V2LNSSA-27A-2019-05-11","West River upper",2,2019-05-11 09:36:00,2019-05-11 09:36:00,44.9585454198472,-62.6177866412211
"182","V2LNSSA-27B-2019-05-11","Sheet Harbour",14608,2019-05-13 02:52:59,2019-05-22 14:23:03,44.9202516530958,-62.5386218284875
"183","V2LNSSA-27B-2019-05-11","Sheet Harbour passage",7,2019-05-12 12:19:38,2019-05-12 12:35:03,44.8665695404,-62.4962837203505
